# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1777351458753000000,1777351487741000000,45
cacheStateStorage.set.counter,1777351458753000000,1777351487741000000,17
cacheStateStorage.get.counter,1777351458753000000,1777351487741000000,45
cacheStateStorage.set.duration,1777351458753000000,1777351487741000000,25
Indexing.writer_0.totalTimeSpentWritingMs,1777351458753000000,1777351487741000000,4
Indexes.stubs.lookupDurationMaxMs,1777351458753000000,1777351487741000000,0.0
Indexes.allKeys.lookupDuration90PMs,1777351458753000000,1777351487741000000,0.0
Indexes.entries.lookupDuration90PMs,1777351458753000000,1777351487741000000,0.0
Indexing.cache.totalCacheMisses,1777351458753000000,1777351487741000000,3187
Indexes.allKeys.lookupDurationMaxMs,1777351458753000000,1777351487741000000,0.0
Indexing.cache.totalCacheEvicted,1777351458753000000,1777351487741000000,3187
Indexing.writesQueuedAvg,1777351458753000000,1777351487741000000,0.0
Indexes.entries.lookupDurationMaxMs,1777351458753000000,1777351487741000000,0.0
Indexes.stubs.lookupDuration90PMs,1777351458753000000,1777351487741000000,0.0
Indexing.writesQueuedMax,1777351458753000000,1777351487741000000,0
Indexes.stubs.lookupDurationAvgMs,1777351458753000000,1777351487741000000,0.0
Indexing.totalTimeIndexersSleptMs,1777351458753000000,1777351487741000000,0
Indexes.entries.lookups,1777351458753000000,1777351487741000000,155
Indexes.entries.lookupDurationAvgMs,1777351458753000000,1777351487741000000,0.0
Indexing.writer_3.totalTimeSpentWritingMs,1777351458753000000,1777351487741000000,4
Indexing.writer_1.totalTimeSpentWritingMs,1777351458753000000,1777351487741000000,8
Indexes.stubs.lookups,1777351458753000000,1777351487741000000,2997
Indexes.allKeys.lookups,1777351458753000000,1777351487741000000,3
Indexing.writesQueuedMin,1777351458753000000,1777351487741000000,0
Indexes.allKeys.lookupDurationAvgMs,1777351458753000000,1777351487741000000,0.0
Indexing.cache.totalCacheAccesses,1777351458753000000,1777351487741000000,9374
Indexing.writer_2.totalTimeSpentWritingMs,1777351458753000000,1777351487741000000,2
FilePageCache.totalPageDisposalsUs,1777351458753000000,1777351487741000000,984
FilePageCache.pageLoads,1777351458753000000,1777351487741000000,344
FilePageCache.disposedBuffers,1777351458753000000,1777351487741000000,344
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777351458753000000,1777351487741000000,41959424
DirectByteBufferAllocator.misses,1777351458753000000,1777351487741000000,341
StorageLockContext.competingThreads.max,1777351458753000000,1777351487741000000,0
StorageLockContext.competingThreads.avg,1777351458753000000,1777351487741000000,0.0
FilePageCache.capacityInBytes,1777351458753000000,1777351487741000000,629145600
DirectByteBufferAllocator.disposed,1777351458753000000,1777351487741000000,299
FilePageCache.maxRegisteredFiles,1777351458753000000,1777351487741000000,706
FilePageCache.totalPageLoadsUs,1777351458753000000,1777351487741000000,475557
FilePageCache.pageLoadsAboveSizeThreshold,1777351458753000000,1777351487741000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777351458753000000,1777351487741000000,41959424
FilePageCache.maxCacheSizeInBytes,1777351458753000000,1777351487741000000,355483648
FilePageCache.uncachedFileAccess,1777351458753000000,1777351487741000000,195
StorageLockContext.competingThreads.90P,1777351458753000000,1777351487741000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1777351458753000000,1777351487741000000,0
